id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco,Brenda's French Soul Food,https://s3-media3.fl.yelpcdn.com/bphoto/sNIJnePGDenUOyewsD8tLg/o.jpg,False,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,10711,"[{'alias': 'french', 'title': 'French'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 37.7829016035273, 'longitude': -122.419043442957}",[],$$,"{'address1': '652 Polk St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['652 Polk St', 'San Francisco, CA 94102']}",+14153458100,(415) 345-8100,2885.38913097158
WavvLdfdP6g8aZTtbBQHTw,gary-danko-san-francisco,Gary Danko,https://s3-media3.fl.yelpcdn.com/bphoto/CAprIoeKQAYV9oUw9xBbmA/o.jpg,False,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,5436,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 37.80587, 'longitude': -122.42058}",[],$$$$,"{'address1': '800 N Point St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['800 N Point St', 'San Francisco, CA 94109']}",+14157492060,(415) 749-2060,5191.341803207417
ri7UUYmx21AgSpRsf4-9QA,tartine-bakery-and-cafe-san-francisco,Tartine Bakery & Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/6XiycXBqBcgyjZ6QwpyEZw/o.jpg,False,https://www.yelp.com/biz/tartine-bakery-and-cafe-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,7756,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 37.7614250022004, 'longitude': -122.424051321456}",[],$$,"{'address1': '600 Guerrero St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['600 Guerrero St', 'San Francisco, CA 94110']}",+14154872600,(415) 487-2600,1091.249585562033
Xg-FyjVKAN70LO4u4Z1ozg,hog-island-oyster-co-san-francisco,Hog Island Oyster Co,https://s3-media3.fl.yelpcdn.com/bphoto/TW9FgV_Ufqd15t_ARQuz1A/o.jpg,False,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,5799,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,"{'latitude': 37.795831, 'longitude': -122.393303}",[],$$,"{'address1': '1 Ferry Bldg', 'address2': '', 'address3': 'Shop 11', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['1 Ferry Bldg', 'Shop 11', 'San Francisco, CA 94111']}",+14153917117,(415) 391-7117,5428.15670676801
oT08T3Vpn1I7jDmrBBRMTw,house-of-prime-rib-san-francisco,House of Prime Rib,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,False,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,6952,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 37.79338, 'longitude': -122.4225}",[],$$$,"{'address1': '1906 Van Ness Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1906 Van Ness Ave', 'San Francisco, CA 94109']}",+14158854605,(415) 885-4605,3819.642257655711
eYXwVR4mMAjzkJnm5wneHQ,burma-superstar-san-francisco-2,Burma Superstar,https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg,False,https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,6643,"[{'alias': 'burmese', 'title': 'Burmese'}]",4.0,"{'latitude': 37.782787322998, 'longitude': -122.462539672852}",[],$$,"{'address1': '309 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['309 Clement St', 'San Francisco, CA 94118']}",+14153872147,(415) 387-2147,3346.3513929682595
ZoZjbOYR-apY8XvommlNUA,the-house-san-francisco,The House,https://s3-media2.fl.yelpcdn.com/bphoto/UzrNIkdGTZ1-cXuQDsKUmA/o.jpg,False,https://www.yelp.com/biz/the-house-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,4684,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 37.79851, 'longitude': -122.40706}",['restaurant_reservation'],$$$,"{'address1': '1230 Grant Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1230 Grant Ave', 'San Francisco, CA 94133']}",+14159868612,(415) 986-8612,4911.928931733509
PsY5DMHxa5iNX_nX0T-qPA,kokkari-estiatorio-san-francisco,Kokkari Estiatorio,https://s3-media2.fl.yelpcdn.com/bphoto/7StMTfE2srlcIu2opeTb3g/o.jpg,False,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,4433,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 37.796996, 'longitude': -122.399661}",['pickup'],$$$,"{'address1': '200 Jackson St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['200 Jackson St', 'San Francisco, CA 94111']}",+14159810983,(415) 981-0983,5153.879756630951
M0JTO3oyu6gxh1mfFjU-dA,san-tung-san-francisco-2,San Tung,https://s3-media4.fl.yelpcdn.com/bphoto/LTtoZ25m8FX1UV37asnTCw/o.jpg,False,https://www.yelp.com/biz/san-tung-san-francisco-2?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,6654,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 37.763693, 'longitude': -122.469008}",[],$$,"{'address1': '1031 Irving St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1031 Irving St', 'San Francisco, CA 94122']}",+14152420828,(415) 242-0828,2877.9920007894843
ttarnopezxmp2ROB1N2PaA,nopa-san-francisco,Nopa,https://s3-media3.fl.yelpcdn.com/bphoto/Li0xXDEM78GMG1xCYgYYaA/o.jpg,False,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=oF0wYNbUon_I50ZE1mafbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oF0wYNbUon_I50ZE1mafbg,5001,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 37.77483, 'longitude': -122.43746}",[],$$$,"{'address1': '560 Divisadero St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['560 Divisadero St', 'San Francisco, CA 94117']}",+14158648643,(415) 864-8643,1559.1831881623302
